2.53067E+14,,253,670
1st and 10 at GASO 26,Tyler Jones run for 3 yds to the GeoSo 23,,
2nd and 7 at GASO 23,Tyler Jones run for 14 yds to the GeoSo 9 for a 1ST down,,
1st and Goal at GASO 9,Terrence Franks run for 4 yds to the GeoSo 5,,
2nd and Goal at GASO 5,Tyler Jones run for a loss of 1 yard to the GeoSo 6,,
3rd and Goal at GASO 6,Tyler Jones pass complete to Robert Lowe for 5 yds to the GeoSo 1,,
4th and Goal at GASO 1,"Tyler Jones pass intercepted for a TD Matt Dobson return for 100 yds for a TD, (Alex Hanks KICK)",28,10
,End of 3rd Quarter,,
"TXST DRIVE TOTALS: 8 plays, 54 yards, 3:52",,,
4th Quarter Play-by-Play,,,
Texas State at 15:00,,GSU,TST
,"Younghoe Koo kickoff for 61 yds , Terrence Franks return for 20 yds to the TexSt 24",28,10
1st and 10 at TXST 24,Tyler Jones run for 6 yds to the TexSt 30,,
2nd and 4 at TXST 30,Tyler Jones run for 1 yd to the TexSt 31,,
3rd and 3 at TXST 31,"Tyler Jones pass incomplete to Lawrence White, broken up by Deion Stanley",,
4th and 3 at TXST 31,"Will Johnson punt for 36 yds , Brandan Thomas returns for a loss of 1 yard to the GeoSo 32",,
"TXST DRIVE TOTALS: 3 plays, 7 yards, 1:18",,,
Georgia Southern at 13:37,,GSU,TST
1st and 10 at GASO 32,Alfred Ramsby run for 1 yd to the GeoSo 33,28,10
2nd and 9 at GASO 33,Matt Breida run for 6 yds to the GeoSo 39,,
3rd and 3 at GASO 39,Kevin Ellison run for no gain to the GeoSo 39,,
4th and 3 at GASO 39,"Ryan Nowicki punt for 51 yds , Craig Mager returns for 3 yds to the TexSt 13",,
"GASO DRIVE TOTALS: 3 plays, 7 yards, 2:22",,,
Texas State at 11:15,,GSU,TST
1st and 10 at TXST 13,Tyler Jones pass incomplete to Bradley Miller,28,10
2nd and 10 at TXST 13,Tyler Jones run for 6 yds to the TexSt 19,,
3rd and 4 at TXST 19,Tyler Jones pass complete to Ben Ijah for 5 yds to the TexSt 24 for a 1ST down,,
1st and 10 at TXST 24,Tyler Jones pass complete to Lawrence White for 6 yds to the TexSt 30,,
2nd and 4 at TXST 30,Tyler Jones pass complete to Randy Price for 6 yds to the TexSt 36 for a 1ST down,,
1st and 10 at TXST 36,Tyler Jones pass complete to Bradley Miller for 24 yds to the GeoSo 40 for a 1ST down,,
1st and 10 at GASO 40,Tyler Jones pass incomplete to Brice Gunter,,
2nd and 10 at GASO 40,Tyler Jones sacked by Justice Ejike for a loss of 6 yards to the GeoSo 46,,
3rd and 16 at GASO 46,Tyler Jones pass complete to Brandon Smith for 18 yds to the GeoSo 28 for a 1ST down,,
1st and 10 at GASO 28,Tyler Jones run for 9 yds to the GeoSo 19,,
2nd and 1 at GASO 19,"Jones,Tyler flag pass incomplete to White,Lawrence, PENALTY GSU holding (Hicklin, Tay) 9 yards to the GSU10, 1ST DOWN TXST, NO PLAY. for a 1ST down",,
1st and Goal at GASO 10,Robert Lowe run for 9 yds to the GeoSo 1,,
2nd and Goal at GASO 1,Tyler Jones run for no gain to the GeoSo 1,,
3rd and Goal at GASO 1,"Robert Lowe run for 1 yd for a TD, (Will Johnson KICK)",28,17
"TXST DRIVE TOTALS: 13 plays, 87 yards, 4:50",,,
Texas State at 6:20,,GSU,TST
,Will Johnson on-side kick recovered by TEXAS STATE at the TexSt 46,28,17
1st and 10 at TXST 46,Tyler Jones pass complete to Brandon Smith for 15 yds to the GeoSo 39 for a 1ST down,,
1st and 10 at GASO 39,Tyler Jones pass incomplete to Brandon Smith,,
2nd and 10 at GASO 39,Tyler Jones pass incomplete,,
3rd and 10 at GASO 39,Tyler Jones pass complete to Brandon Smith for 9 yds to the GeoSo 30,,
,"Timeout TEXAS STATE, clock 05:12",,
4th and 1 at GASO 30,Robert Lowe run for no gain to the GeoSo 30,,
"TXST DRIVE TOTALS: 5 plays, 24 yards, 1:12",,,
Georgia Southern at 5:08,,GSU,TST
1st and 10 at GASO 30,Kevin Ellison run for a loss of 2 yards to the GeoSo 28,28,17
2nd and 12 at GASO 28,"GA SOUTHERN Penalty, delay of game (Kevin Ellison) to the GeoSo 23",,
2nd and 17 at GASO 23,Kevin Ellison run for 1 yd to the GeoSo 24,,
3rd and 16 at GASO 24,Matt Breida run for 11 yds to the GeoSo 35,,
4th and 5 at GASO 35,"Ryan Nowicki punt for 47 yds, fair catch by Craig Mager at the TexSt 18",,
"GASO DRIVE TOTALS: 3 plays, 5 yards, 2:12",,,
Texas State at 2:56,,GSU,TST
1st and 10 at TXST 18,Tyler Jones run for no gain to the TexSt 18,28,17
2nd and 10 at TXST 18,Tyler Jones run for no gain to the TexSt 18,,
3rd and 10 at TXST 18,Tyler Jones pass complete to Ben Ijah for 13 yds to the TexSt 31 for a 1ST down,,
1st and 10 at TXST 31,Tyler Jones pass complete to Lawrence White for 18 yds to the TexSt 49 for a 1ST down,,
1st and 10 at TXST 49,Tyler Jones pass complete to Ben Ijah for 14 yds to the GeoSo 37 for a 1ST down,,
1st and 10 at GASO 37,"Tyler Jones pass incomplete to Brandon Smith, broken up by Darius Jones",,
2nd and 10 at GASO 37,Tyler Jones pass complete to Randy Price for 7 yds to the GeoSo 30,,
3rd and 3 at GASO 30,Tyler Jones pass complete to Demun Mercer for 9 yds to the GeoSo 21 for a 1ST down,,
1st and 10 at GASO 21,"Tyler Jones pass incomplete to Ben Ijah, broken up by Nick Wright",,
2nd and 10 at GASO 21,"Jones,Tyler flag pass incomplete to Garrey,Ryan, PENALTY GSU pass interference (Stanley, Deion) 15 yards to the GSU6, 1ST DOWN TXST, NO PLAY. for a 1ST down",,
1st and Goal at GASO 6,Tyler Jones pass incomplete to Ben Ijah,,
2nd and Goal at GASO 6,"Tyler Jones pass complete to Lawrence White for 6 yds for a TD, (T. Jones Run For Two-point Conversion)",28,25
