0721046520141108,,721,465
1st and 10 at UNLV 29,"LEBOWITZ, Jared pass incomplete to DAVIS, Devante, PENALTY AF PFRP (HANSEN, Alex) 15 yards to the LV44, 1ST DOWN LV, NO PLAY. for a 1ST down",,
1st and 10 at UNLV 44,Jared Lebowitz run for 3 yds to the UNLV 47,,
2nd and 7 at UNLV 47,Jared Lebowitz pass complete to Taylor Barnhill for 5 yds to the AFA 48,,
3rd and 2 at AFA 48,Jared Lebowitz pass incomplete to Devante Davis,,
4th and 2 at AFA 48,Keith Whitely run for 3 yds to the AFA 45 for a 1ST down,,
1st and 10 at AFA 45,Jared Lebowitz pass incomplete to Maika Mataele,,
2nd and 10 at AFA 45,Jared Lebowitz pass incomplete to Maika Mataele,,
3rd and 10 at AFA 45,Jared Lebowitz pass incomplete to Devante Davis,,
4th and 10 at AFA 45,Jared Lebowitz pass incomplete to Maika Mataele,,
"UNLV DRIVE TOTALS: 8 plays, 26 yards, 1:32"
Air Force at 10:49,,AFA,UNLV
1st and 10 at AFA 45,Shayne Davern run for no gain to the AFA 45,48,21
2nd and 10 at AFA 45,Jacobi Owens run for 2 yds to the AFA 47,,
3rd and 8 at AFA 47,Jacobi Owens run for 4 yds to the UNLV 49,,
,"Timeout AIR FORCE, clock 08:48",,
4th and 4 at UNLV 49,"Will Conant punt for 39 yds, downed at the UNLV 10",,
"AFA DRIVE TOTALS: 3 plays, 6 yards, 2:11"
UNLV at 8:38,,AFA,UNLV
1st and 10 at UNLV 10,Jared Lebowitz pass complete to Kendal Keys for 7 yds to the UNLV 17,48,21
2nd and 3 at UNLV 17,Jared Lebowitz pass incomplete to Devante Davis,,
3rd and 3 at UNLV 17,Jared Lebowitz pass incomplete to Taylor Barnhill,,
4th and 3 at UNLV 17,"Logan Yunker punt for 36 yds, downed at the AFA 47",,
"UNLV DRIVE TOTALS: 3 plays, 7 yards, 0:38"
Air Force at 8:00,,AFA,UNLV
1st and 10 at AFA 47,Devin Rushing run for 4 yds to the UNLV 49,48,21
2nd and 6 at UNLV 49,Nate Romine run for no gain to the UNLV 49,,
3rd and 6 at UNLV 49,Devin Rushing run for 5 yds to the UNLV 44,,
4th and 1 at UNLV 44,Devin Rushing run for 2 yds to the UNLV 42 for a 1ST down,,
