Position,Down,Distance,Plays,Runs,Run Yards Exp,Run Points Exp,Passes,Pass Yards Exp,Pass Points Exp,Sacks,Sack Yards Exp,Sack Points Exp,Punts,Field Goals,Expected Yards,Expected Points
20,2,0,207,152,4.203947368,4.572368421,51,6.156862745,5.137254902,4,-6.25,1.75,0,0,4.483091787,4.657004831
20,2,1,295,182,5.32967033,4.478021978,102,4.960784314,4.607843137,7,-6.142857143,4.285714286,0,1,4.924398625,4.518900344
20,2,2,707,348,5.724137931,4.00862069,327,6.23853211,4.039755352,20,-6.7,2.15,0,9,5.608633094,3.969784173
20,2,3,183,66,5.924242424,4.106060606,99,7.262626263,4.04040404,10,-8,0.9,0,1,5.885714286,3.885714286
20,2,4,14,6,3.833333333,2.666666667,7,10.14285714,4.285714286,0,0,0,0,0,7.230769231,3.538461538
20,3,0,259,190,3.5,3.836842105,65,5.784615385,4.046153846,4,-4.5,1.5,0,0,3.94980695,3.853281853
20,3,1,239,79,4.886075949,3.405063291,147,6.25170068,3.517006803,10,-6.4,2.5,0,2,5.258474576,3.436440678
20,3,2,261,56,7.357142857,3.375,189,6.222222222,3.116402116,14,-5.714285714,1.714285714,0,1,5.822393822,3.096525097
20,3,3,112,24,4.083333333,2.791666667,78,5.397435897,2.717948718,6,-8.666666667,2.166666667,0,1,4.324074074,2.703703704
20,3,4,17,5,4.2,1.8,8,2.875,3.625,4,-9.25,1.5,0,0,0.411764706,2.588235294
20,4,0,158,74,3.405405405,2.756756757,26,5.038461538,2.384615385,1,-7,0,0,57,3.722772277,2.633663366
20,4,1,97,4,6,2.5,11,7.272727273,2.181818182,1,-8,0,0,80,6,2.125
20,4,2,118,4,9,1.75,14,6.357142857,2,2,-7.5,0,0,98,5.5,1.75
20,4,3,116,2,7.5,0,8,8.625,2.125,2,-10.5,0,1,101,5.25,1.416666667
20,4,4,7,0,0,0,1,0,0,0,0,0,0,6,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1,17,8,1.75,3.625,8,2.375,6,0,0,0,0,0,2.0625,4.8125
25,1,2,2043,1182,5.170050761,3.879864636,795,7.074213836,4.066666667,32,-6.75,2.1875,0,7,5.733698357,3.926829268
25,1,3,70,27,5.444444444,4.444444444,40,8.225,4.15,1,-9,0,0,0,6.867647059,4.205882353
25,1,4,6,4,11.5,5.25,2,9.5,1.5,0,0,0,0,0,10.83333333,4
25,2,0,244,164,4.579268293,4.213414634,76,6.171052632,4.447368421,2,-7,3,0,1,4.983471074,4.276859504
25,2,1,355,210,5.60952381,4.357142857,133,5.887218045,4.368421053,8,-7.5,1.625,0,1,5.415954416,4.299145299
25,2,2,785,362,5.29281768,3.660220994,393,6.506361323,3.684478372,27,-6.740740741,1.925925926,0,1,5.487212276,3.612531969
25,2,3,215,67,5.567164179,4.119402985,129,7.341085271,3.379844961,7,-7,0.857142857,0,2,6.261083744,3.536945813
25,2,4,17,6,10.66666667,3.333333333,10,5.6,2.6,1,-14,0,0,0,6.235294118,2.705882353
25,3,0,282,206,4.587378641,4.233009709,73,7.808219178,4.410958904,3,-15,0,0,0,5.212765957,4.234042553
