STA,674,Stanford,
Stanf,674,Stanford,
stanford,674,Stanford,
SFAus,676,Stephen F. Austin,
sfaustin,676,Stephen F. Austin,
Stephen F Austin,676,Stephen F. Austin,
SBK,683,Stony Brook,
StBrk,683,Stony Brook,
STON,683,Stony Brook,
stony-brook,683,Stony Brook,
SYR,688,Syracuse,
Syrac,688,Syracuse,
syracuse,688,Syracuse,
TEM,690,Temple,
Temp,690,Temple,
temple,690,Temple,
CHAT,693,Chattanooga,
Chatt,693,Chattanooga,
chattanooga,693,Chattanooga,
CHT,693,Chattanooga,
TEN,694,Tennessee,
TENN,694,Tennessee,
tennessee,694,Tennessee,
Tennessee,694,Tennessee,
UTS,694,Tennessee,
TNM,695,Tennessee-Martin,
TnMar,695,Tennessee-Martin,
ut-martin,695,Tennessee-Martin,
TexAM,697,Texas A&M,
texasa&m,697,Texas A&M,
TEXASAM,697,Texas A&M,
texas-am,697,Texas A&M,
TXAM,697,Texas A&M,
tcu,698,TCU,
TCU,698,TCU,
TEXASTECH,700,Texas Tech,
texas-tech,700,Texas Tech,
TexTc,700,Texas Tech,
TT,700,Texas Tech,
TEX,703,Texas,
texas,703,Texas,
TEP,704,UTEP,
utep,704,UTEP,
Texas San Antonio,706,UTSA,
TEXASSAN,706,UTSA,
TexSA,706,UTSA,
utsa,706,UTSA,
UTSA,706,UTSA,
TOL,709,Toledo,
Toled,709,Toledo,
toledo,709,Toledo,
TOWS,711,Towson,
towson,711,Towson,
TWN,711,Towson,
troy,716,Troy,
Troy,716,Troy,
TRY,716,Troy,
TSU,716,Troy,
TUL,718,Tulane,
Tulan,718,Tulane,
tulane,718,Tulane,
TULN,718,Tulane,
TLSA,719,Tulsa,
TSA,719,Tulsa,
tulsa,719,Tulsa,
AF,721,Air Force,
AIRFORCE,721,Air Force,
air-force,721,Air Force,
ARM,725,Army,
army,725,Army,
NAV,726,Navy,
navy,726,Navy,
UTAHST,731,Utah State,
utah-st,731,Utah State,
UthSt,731,Utah State,
utah,732,Utah,
UTH,732,Utah,
VAN,736,Vanderbilt,
vanderbilt,736,Vanderbilt,
Vandy,736,Vanderbilt,
VIL,739,Villanova,
Villa,739,Villanova,
villanova,739,Villanova,
virginiamilitary,741,Virginia Military,
virginiamilitaryinstitute,741,Virginia Military,
vmi,741,Virginia Military,
VMI,741,Virginia Military,
VMI,741,Virginia Military,
VATECH,742,Virginia Tech,
virginia-tech,742,Virginia Tech,
VT,742,Virginia Tech,
