Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,First Down Total,Date
305,0305030620140830,1,-5,0,33,17,140,0,0,0,0,0,0,0,0,0,1,0,0,1,60,0,0,0,0,2,1,1,1,0,0,0,0,0,10,8,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23:40,2,22,14,2,2,1,0,0,0,10,20140830
306,0305030620140830,69,455,4,18,11,111,0,1,0,3,59,0,2,18,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,28,2,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36:20,4,30,17,11,2,0,0,0,0,29,20140830
315,0315041620140829,25,22,0,37,18,222,1,3,0,5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21:55,7,64,15,6,1,0,0,0,0,14,20140829
416,0315041620140829,50,211,3,24,18,354,3,0,0,0,0,0,2,11,0,0,0,0,3,19,0,0,0,0,2,1,6,6,0,0,0,0,0,45,4,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38:05,2,13,13,6,1,1,0,0,0,25,20140829
317,0317039220140830,44,161,1,37,16,141,0,2,0,2,35,0,1,1,0,0,0,0,1,12,0,0,0,0,0,0,1,1,0,0,0,0,0,7,10,390,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26:10,9,102,19,4,4,3,0,0,0,16,20140830
392,0317039220140830,50,285,5,35,18,186,2,1,0,2,73,0,1,35,0,1,0,0,2,2,0,0,0,0,1,1,7,7,0,0,0,0,0,52,6,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33:50,5,35,18,9,2,2,0,0,0,30,20140830
234,0234052120140830,31,106,2,40,25,370,1,2,0,3,44,0,1,2,0,1,0,0,1,9,1,0,0,0,3,3,4,4,0,0,0,0,0,37,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33:05,8,71,14,4,1,0,0,0,0,23,20140830
521,0234052120140830,42,161,3,28,15,203,1,1,0,7,159,0,2,32,0,0,0,0,2,14,0,0,0,0,2,1,4,4,0,0,0,0,0,31,6,240,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26:55,7,70,16,8,1,0,0,0,0,22,20140830
270,0270052320140830,26,9,1,1,0,0,0,0,0,7,168,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,4,0,0,0,0,0,28,4,145,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30:13,7,71,16,9,1,1,0,0,0,20,20140830
523,0270052320140830,36,188,3,40,29,281,3,2,0,1,18,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,0,0,41,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:47,4,29,14,10,2,1,0,0,0,31,20140830
290,0290000520140828,51,148,0,26,12,68,0,0,0,4,75,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,9,365,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33:25,5,48,18,3,3,1,0,0,0,15,20140828
5,0290000520140828,28,113,1,44,28,400,5,0,0,0,0,0,2,35,0,1,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,0,41,4,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26:35,7,70,12,5,2,0,0,0,0,24,20140828
355,0355045720140830,1,-1,0,33,16,189,0,2,0,2,23,0,1,12,0,1,0,0,3,4,0,0,0,0,0,0,3,3,0,0,0,0,0,29,9,371,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31:54,2,19,14,5,0,0,0,0,0,15,20140830
457,0355045720140830,48,208,4,45,29,235,3,3,0,4,64,0,7,70,0,4,0,0,2,19,1,0,0,0,1,0,8,8,0,0,0,0,0,56,6,239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27:45,10,60,17,9,1,0,0,0,0,29,20140830
366,0366052220140830,29,54,0,36,22,191,2,1,0,2,36,0,0,0,0,1,0,0,1,19,0,0,0,0,2,1,2,1,0,0,0,0,0,16,7,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31:02,5,32,15,5,1,1,0,0,0,15,20140830
522,0366052220140830,40,183,5,34,19,253,1,1,0,3,100,0,2,35,0,0,0,0,1,0,0,0,0,0,2,2,6,6,0,0,0,0,0,48,1,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28:54,3,34,13,5,4,4,0,0,0,26,20140830
415,0415036720140901,27,70,0,29,17,174,1,2,0,2,57,0,2,22,0,2,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,13,6,281,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26:43,7,46,13,1,2,1,0,0,0,12,20140901
367,0415036720140901,43,130,1,28,20,206,2,0,0,3,132,1,2,6,0,1,0,0,2,65,0,0,0,0,1,1,4,4,0,0,0,0,0,31,5,222,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33:03,7,57,15,7,2,2,0,0,0,21,20140901
440,0440003020140830,1,-3,0,26,14,142,0,2,0,6,95,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,10,10,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32:45,7,44,18,2,2,2,0,0,0,10,20140830
30,0440003020140830,49,283,3,30,20,264,1,0,0,2,67,0,4,-9,0,0,0,0,2,40,0,0,0,0,3,3,3,3,0,0,0,0,0,37,4,194,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34:45,4,25,16,7,2,0,0,0,0,23,20140830
441,0441081120140830,19,42,0,46,25,211,2,0,0,2,32,0,2,6,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,9,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25:06,3,25,17,6,2,1,0,0,0,16,20140830
811,0441081120140830,46,209,2,21,13,92,0,1,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,17,5,222,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34:54,1,4,16,7,1,0,0,0,0,18,20140830
446,0446020420140830,41,210,1,28,18,269,3,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,0,0,0,28,4,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30:57,9,80,16,10,0,0,0,0,0,20,20140830
204,0446020420140830,56,292,3,30,18,99,0,0,0,2,29,0,2,15,1,1,0,0,0,0,0,0,0,0,2,1,4,4,0,0,0,0,0,31,4,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29:03,4,30,19,11,2,2,0,0,0,30,20140830
